name,version,publisher,install_date,install_location,uninstall_string,registry_root,registry_view,registry_path
Mozilla Firefox (x64 en-US),153.0,Mozilla,,C:\Program Files\Mozilla Firefox,"""C:\Program Files\Mozilla Firefox\uninstall\helper.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Mozilla Firefox
Mozilla Maintenance Service,142.0.1,Mozilla,,,"""C:\Program Files (x86)\Mozilla Maintenance Service\uninstall.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MozillaMaintenanceService
WinRAR 7.13 (64-bit),7.13.0,win.rar GmbH,,C:\Program Files\WinRAR,C:\Program Files\WinRAR\uninstall.exe,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\WinRAR archiver
Microsoft .NET Host FX Resolver - 9.0.18 (x64),72.72.55158,Microsoft Corporation,2026-07-28,,MsiExec.exe /X{0CADB010-02E6-4833-B505-BD81F85D0915},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0CADB010-02E6-4833-B505-BD81F85D0915}
Microsoft .NET Host - 9.0.18 (x64),72.72.55158,Microsoft Corporation,2026-07-28,,MsiExec.exe /X{35EC5E45-F900-4AE8-B6FC-E96FB9249F74},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{35EC5E45-F900-4AE8-B6FC-E96FB9249F74}
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36231,14.51.36231,Microsoft Corporation,2026-07-27,,MsiExec.exe /I{5937353B-6E8B-4A29-806F-366A8748E276},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{5937353B-6E8B-4A29-806F-366A8748E276}
VMware Workstation,17.6.4,"VMware, Inc.",2026-07-09,,,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6EC7759F-B700-4743-BB65-BD3ED905D545}
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36231,14.51.36231,Microsoft Corporation,2026-07-27,,MsiExec.exe /I{7AB1994C-7537-46A5-84BE-A3E090AE982C},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7AB1994C-7537-46A5-84BE-A3E090AE982C}
Microsoft Teams Meeting Add-in for Microsoft Office,1.26.16801,Microsoft,2026-07-16,,MsiExec.exe /I{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91}
PowerToys (Preview),0.93.0,Microsoft Corporation,2025-08-25,C:\Users\il.farhan\AppData\Local\PowerToys\,MsiExec.exe /X{B77B4827-92E1-4BCA-9FE6-E707BAE1F4AC},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{B77B4827-92E1-4BCA-9FE6-E707BAE1F4AC}
Microsoft Windows Desktop Runtime - 9.0.18 (x64),72.72.55185,Microsoft Corporation,2026-07-28,,MsiExec.exe /X{B9CB3C69-65ED-445D-A35F-38FCC2058C35},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{B9CB3C69-65ED-445D-A35F-38FCC2058C35}
Microsoft .NET Runtime - 9.0.18 (x64),72.72.55158,Microsoft Corporation,2026-07-28,,MsiExec.exe /X{EDFAA9B4-1B98-43B0-95C5-6010790950B5},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{EDFAA9B4-1B98-43B0-95C5-6010790950B5}
