category,value_name,recent_item,type,registry_path
General,3,WhatsApp Image 2026-05-11 at 9.38.15 PM.jpeg | 桗瑡䅳灰䤠慭敧㈠㈰ⴶ㔰ㄭ‱瑡㤠㌮⸸㔱倠⹍灪来氮歮 |  뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,8,72087.jpg | ㈷㠰⸷湬kD 뻯 | 72087,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,9,ID_front_side.jpg | 䑉晟潲瑮獟摩⹥湬kT 뻯 | ID_front_side,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,20,Lecture 10 ML life cycle and Problems.pdf | 敌瑣牵⁥〱䴠⁌楬敦挠捹敬愠摮倠潲汢浥⹳湬k 뻯 | Lecture 10 ML life cycle and Problems,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,26,MLCycle.pdf | 䱍祃汣⹥湬kH 뻯 | MLCycle,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,21,Lecture 11 KNN.pdf | 敌瑣牵⁥ㄱ䬠乎氮歮 | V 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,22,Lecture 7 Adversal search.pdf | 敌瑣牵⁥‷摁敶獲污猠慥捲⹨湬kl 뻯 | Lecture 7 Adversal search,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,24,Lecture 12_ Step-By-Step K-Means Example.pdf | 敌瑣牵⁥㈱ 瑓灥䈭⵹瑓灥䬠䴭慥獮䔠慸灭敬氮歮 |  뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,27,Three Layers.pdf | 桔敲⁥慌敹獲氮歮 | R 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,28,MVC.pdf | 噍⹃湬k@ 뻯 | MVC,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,29,VISUAL PROGRAMMING (SEVP-365) Lecture 12.pdf | 䥖啓䱁倠佒則䵁䥍䝎†匨噅ⵐ㘳⤵䰠捥畴敲ㄠ⸲湬k 뻯 | VISUAL PROGRAMMING (SEVP-365) Lecture 12,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,32,[Semester 2 to 4] BSSE Curriculum-Fall 2023 - Fall 2024 Version 4.0 (1).pdf | 卛浥獥整⁲′潴㐠⁝卂䕓䌠牵楲畣畬⵭慆汬㈠㈰″‭慆汬㈠㈰‴敖獲潩⁮⸴‰ㄨ⸩湬kÈ 뻯 | [Semester 2 to 4] BSSE Curriculum-Fall 2023 - Fall 2024 Version 4.0 (1),REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,25,Entity Fram Work.pdf | 湅楴祴䘠慲⁭潗歲氮歮 | Z 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
