value_name,typed_path,type,registry_path
url1,D:\Softwares\challenge3\C\C\Users\admin\AppData\Local\Discord\app-1.0.9243,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url2,D:\Softwares\challenge3\C\C\Users\admin\AppData\Local\Discord\app-1.0.9243\app-1.0.9243\Strings,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url3,D:\,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url4,D:\PD\Private\Bewafa\Trail3(19-6-2026),REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url5,C:\Users\Boss\Desktop\New folder\20-4-26,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url6,D:\5 Semester\BoSS\Web Engineering\Lecture,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url7,D:\Projects\Proposel\GuideLine\complete,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url8,D:\Projects\Proposel\GuideLine\complete\AUFA_Project\reports,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url9,C:\Windows\System32\config,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url10,Downloads,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url11,D:\Projects\Proposel\GuideLine\complete\AUFA_Project\data,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url12,D:\PD\Private,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url13,C:\Users\Boss\AppData\Local\Android\Sdk\ndk,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url14,C:\Users\Boss\AppData\Local\Android\Sdk,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url15,C:\Users\Boss\AppData\Local\Android\Sdk\ndk\28.2.13676358,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url16,C:\Users\Boss\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Eclipse,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
url17,C:\Program Files\Cisco Packet Tracer 8.2.2\saves,REG_SZ,Software\Microsoft\Windows\CurrentVersion\Explorer\TypedPaths
